SalesLineID,OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPriceGBP,UnitCostGBP,DiscountPct,OrderStatus,SalesChannel
1,500023,2024-01-01,35,6,1,118.11,71.75,0,Completed,Online
2,500009,2024-01-02,33,1,1,752.12,551.02,0.05,Completed,Online
3,500009,2024-01-02,33,6,1,119.35,71.67,0,Completed,Online
4,500025,2024-01-02,18,3,1,339.52,240.33,0.05,Completed,Online
5,500025,2024-01-02,18,6,2,118.15,71.26,0.05,Completed,Online
6,500030,2024-01-02,10,10,1,11.92,4.94,0,Completed,Online
7,500007,2024-01-03,6,10,1,12.25,5.09,0.05,Completed,Retail Store
8,500013,2024-01-03,14,10,2,11.95,5.08,0.1,Completed,Online
9,500032,2024-01-03,46,12,1,23.75,11.03,0.03,Completed,Marketplace
10,500020,2024-01-05,63,9,1,48.64,19.18,0,Completed,Online
11,500008,2024-01-06,7,1,1,729.22,552.84,0,Completed,Retail Store
12,500003,2024-01-07,49,2,1,235.64,151.68,0.03,Cancelled,Online
13,500003,2024-01-07,49,3,2,338.87,241.54,0.05,Cancelled,Online
14,500003,2024-01-07,49,5,1,77.74,36.71,0,Cancelled,Online
15,500006,2024-01-07,20,5,1,80.01,36.49,0,Completed,Online
16,500006,2024-01-07,20,10,1,11.76,5.01,0,Completed,Online
17,500006,2024-01-07,20,8,1,257.8,154.22,0.1,Completed,Online
18,500012,2024-01-08,11,6,1,116.59,70.47,0,Completed,Online
19,500012,2024-01-08,11,2,2,234.46,155.49,0.15,Completed,Online
20,500022,2024-01-08,57,8,1,258.8,158.6,0,Completed,Online
21,500022,2024-01-08,57,5,1,79.32,37.49,0.05,Completed,Online
22,500015,2024-01-09,30,2,1,223.9,152.51,0.03,Completed,Online
23,500017,2024-01-10,45,2,2,228.06,152.64,0.05,Completed,Marketplace
24,500035,2024-01-10,9,4,1,28.01,11.06,0,Completed,Marketplace
25,500002,2024-01-11,45,5,1,80.62,37.39,0,Completed,Retail Store
26,500002,2024-01-11,45,9,2,49.38,19.05,0,Completed,Retail Store
27,500028,2024-01-11,51,7,1,380.94,238.66,0.1,Cancelled,Retail Store
28,500028,2024-01-11,51,8,2,254.51,156.38,0.05,Cancelled,Retail Store
29,500027,2024-01-12,49,4,2,26.64,10.89,0,Completed,Online
30,500027,2024-01-12,49,7,3,381.19,239.05,0,Completed,Online
31,500001,2024-01-13,58,7,1,365.44,233.14,0.1,Completed,Marketplace
32,500016,2024-01-13,33,1,1,749.89,536.38,0,Completed,Online
33,500019,2024-01-13,63,3,2,341.11,235.5,0.15,Completed,Online
34,500031,2024-01-16,33,10,1,12.21,4.93,0,Completed,Retail Store
35,500018,2024-01-17,62,6,3,123.46,70.54,0.15,Completed,Online
36,500029,2024-01-17,32,1,2,742.55,535.99,0.03,Completed,Marketplace
37,500010,2024-01-20,60,1,1,739.46,546.26,0,Completed,Retail Store
38,500005,2024-01-21,11,7,1,363.1,234.69,0.1,Cancelled,Marketplace
39,500005,2024-01-21,11,1,2,727.5,539.94,0.15,Cancelled,Marketplace
40,500024,2024-01-21,59,9,1,48.18,18.72,0,Completed,Retail Store
41,500024,2024-01-21,59,1,3,715.11,548.67,0,Completed,Retail Store
42,500033,2024-01-23,11,1,1,720.83,541.85,0.05,Completed,Online
43,500033,2024-01-23,11,9,4,46.97,18.93,0,Completed,Online
44,500037,2024-01-23,39,5,1,77.3,36.72,0,Completed,Retail Store
45,500037,2024-01-23,39,7,1,366.23,235.6,0,Completed,Retail Store
46,500034,2024-01-24,62,6,1,116.56,71.38,0,Cancelled,Online
47,500034,2024-01-24,62,1,1,724.58,537.39,0,Cancelled,Online
48,500026,2024-01-25,13,12,1,23.52,11.09,0.05,Completed,Marketplace
49,500026,2024-01-25,13,9,1,50.1,19.36,0,Completed,Marketplace
50,500014,2024-01-26,64,2,3,226.67,154.85,0,Completed,Online
51,500014,2024-01-26,64,7,1,360.37,237.39,0,Completed,Online
52,500021,2024-01-27,44,1,1,726.85,546.66,0.03,Completed,Online
53,500021,2024-01-27,44,12,1,23.77,11.0,0.15,Completed,Online
54,500011,2024-01-28,26,2,2,229.64,154.72,0.03,Completed,Online
55,500011,2024-01-28,26,11,1,16.04,7.06,0,Completed,Online
56,500036,2024-01-29,28,11,1,16.15,7.03,0,Completed,Marketplace
57,500004,2024-01-30,48,4,1,26.96,11.0,0,Completed,Marketplace
58,500004,2024-01-30,48,8,2,254.18,156.86,0,Completed,Marketplace
59,500050,2024-02-01,53,5,1,81.41,37.48,0,Completed,Online
60,500054,2024-02-01,14,5,3,77.51,37.24,0.03,Completed,Retail Store
61,500067,2024-02-01,3,7,2,362.95,233.61,0,Completed,Online
62,500067,2024-02-01,3,12,1,24.67,10.84,0.05,Completed,Online
63,500074,2024-02-01,61,5,1,82.1,37.58,0,Completed,Retail Store
64,500048,2024-02-02,33,2,1,228.68,151.74,0,Completed,Online
65,500048,2024-02-02,33,8,3,257.84,154.73,0,Completed,Online
66,500040,2024-02-03,43,6,1,120.25,70.63,0,Completed,Retail Store
67,500072,2024-02-03,21,7,1,382.11,238.84,0,Completed,Marketplace
68,500044,2024-02-04,3,7,1,365.55,234.47,0.03,Completed,Retail Store
69,500057,2024-02-05,51,11,1,16.15,6.97,0.05,Completed,Online
